"","Actor","No. of Films","No. of Hits","avg ROI","avg Budget"
"121","Ira Dubey",1,NA,"-79.167","11"
"122","Irrfan Khan",8,3,"70.211375","36.25"
"123","Isha Sharvani",1,NA,"-20","52"
"124","Izabelle Leite",1,NA,"-93.333","19"
"125","Jackie Shroff",4,1,"-20.54175","19"
"126","Jackky Bhagnani",4,1,"-43.64125","25"
"127","Jacky Bhagani",1,NA,"-41.667","11"
"128","Jacqueline Fernandez",3,2,"147.5","37"
"129","Jacquline Fernandez",1,1,"133","6"
"130","Jaideep Ahlawat",1,1,"193.478","71"
"131","Jas Arora",1,NA,"47.611","23"
"132","Javed Jaffrey",3,NA,"-31.349","18"
"133","Jay Bhanushali",2,NA,"43.8055","21"
"134","Jayshree Soni",1,NA,"35","26"
"135","Jimmy Shergill",8,3,"116.293875","28.125"
"136","John Abraham",7,1,"44.0542857142857","38.4285714285714"
"137","Johnny Lever",1,NA,"21.667","60"
"138","Juhi Chawla",1,NA,"-48.148","34"
"139","K K Menon",1,NA,"-37.008","59"
"140","Kabir Bedi",1,NA,"-20","26"
"141","Kainaz Motivala",1,1,"592.308","3"
"142","Kalki Koechlin",7,3,"126.547571428571","34.2857142857143"
"143","Kangana Ranaut",13,5,"82.2859230769231","30.3846153846154"
"144","Kapil Dubey",1,1,"500","1"
"145","Karan Johar",2,NA,"-76.741","14.5"
"146","Karan Kundra",1,NA,"0","52"
"147","Karan Mehra",1,NA,"-66.667","37"
"148","Karan Singh Grover",1,NA,"22.222","23"
"149","Karanvir Sharma",1,NA,"-6.667","19"
"150","Kareena Kapoor Khan",8,4,"53.7182222222222","45.5555555555556"
"151","Kareena Kapoor Khan Khan",1,1,"19.444","64"
"152","Karishma Tanna",1,1,"194.286","41"
"153","Karisma Kapoor",1,NA,"-62.5","21"
"154","Karthik Aryan",1,NA,"-88.571","41"
"155","Kartik Tiwari",1,NA,"57.143","62"
"156","Katrina Kaif",7,4,"99.9297142857143","44.8571428571429"
"157","Kay Kay Menon",7,3,"140.652142857143","25.7142857142857"
