Movie,Release_Date,Verified FB Page,FB Following,Trailer Thumbs Down,Trailer Thumbs Up,Youtube Trailer hits,Trailer Date,Days between Releases
Bhoothnath Returns,4/11/2014,N,8826,680,10849,3210815,2/25/2014,45
Main Tera Hero,4/4/2014,Y,1410747,2140,12665,4907206,1/23/2014,71
Youngistaan,3/28/2014,NP,36047,177,1085,604598,1/31/2014,56
Dishkiyaoon,3/28/2014,NP,950,465,3365,2398508,1/22/2014,65
O Teri,3/28/2014,Y,320050,278,3003,1511883,1/23/2014,64
Ragini MMS 2,3/21/2014,N,857257,2719,6813,5421650,2/2/2014,47
Bewakoofiyaan,3/14/2014,N,995,1069,4765,2851499,2/6/2014,36
Queen,3/7/2014,Y,646154,5371,442,2928984,12/20/2013,77
Total Siyapaa,3/7/2014,NP,3577,555,3675,1759798,11/25/2013,102
Gulaab Gang,3/7/2014,Y,69770,1605,13221,4688338,1/9/2014,57
Shaadi Ke Side Effects,2/28/2014,N,12075,1466,9028,4593905,10/28/2013,123
Highway,2/21/2014,Y,1017738,9107,971,3045478,12/16/2013,67
Darr @ The Mall,2/21/2014,Y,279622,68,648,251665,1/20/2014,32
Gunday,2/14/2014,Y,1266160,935,6286,2469654,12/13/2013,63
Hasee Toh Phasee,2/7/2014,Y,1045087,975,6394,2545152,12/13/2013,56
One By Two,1/31/2014,Y,81058,212,1082,1017884,12/18/2013,44
Jai Ho,1/24/2014,N,239,407,2787,871709,12/15/2013,40
Miss Lovely,1/17/2014,NP,386,95,330,813181,5/27/2014,-130
Karle Pyaar Karle,1/17/2014,N,38102,128,298,502877,12/27/2013,21
Dedh Ishqiya,1/10/2014,Y,793319,591,2436,2333840,11/25/2013,46
Yaariyan,1/10/2014,Y,3147064,767,4852,3331807,10/30/2013,72
Sholay 3D,1/3/2014,N,67386,288,2119,1009039,11/7/2013,57
Mr Joe B. Carvalho,1/3/2014,N,41197,43,497,911317,11/25/2013,39
Dhoom 3,12/20/2013,Y,4594752,10150,59555,20262919,10/30/2013,51
Jackpot,12/13/2013,NP,726,76,269,292309,11/12/2013,31
R… Rajkumar,12/6/2013,NP,18770,2819,60161,6150177,10/1/2013,66
Bullett Raja,11/29/2013,N,168096,2146,8123,4064015,9/30/2013,60
Singh Saab The Great,11/22/2013,NP,16743,108,901,245441,10/28/2013,25
Gori Tere Pyaar Mein!,11/22/2013,Y,548689,1878,8679,3887617,9/9/2013,74
Ramleela,11/15/2013,N,40177,4419,22137,9724764,9/16/2013,60
Rajjo,11/15/2013,N,127636,1088,1617,1737162,9/26/2013,50
Satya 2,11/8/2013,N,109740,27,90,115355,9/30/2013,39
Krrish 3,10/31/2013,Y,3788072,12119,72763,23767666,8/5/2013,87
Mickey Virus,10/25/2013,N,1022,130,531,203020,9/20/2013,35
Shahid,10/18/2013,None,0,414,3217,1203294,9/20/2013,28
Boss,10/16/2013,N,18840,3476,23653,6813111,8/26/2013,51
War Chhod Na Yaar,10/11/2013,N,27962,179,894,307298,9/19/2013,22
Besharam,10/2/2013,N,61496,8176,10258,5339177,7/30/2013,64
Warning 3D,9/27/2013,None,81,224,1518,307298,8/21/2013,37
Prague,9/27/2013,NP,25,13,19,34520,12/4/2013,-68
Phata Poster Nikhla Hero,9/20/2013,N,69478,1411,10797,5262921,7/14/2013,68
The Lunchbox,9/20/2013,N,14135,288,4092,1082453,8/14/2013,37
Horror Story,9/13/2013,N,135734,395,1902,1057824,8/21/2013,23
John Day,9/13/2013,N,45519,203,865,1232529,7/27/2013,48
Grand Masti,9/13/2013,N,151924,1003,4866,3397775,7/17/2013,58
Shuddh Desi Romance,9/6/2013,N,803,1019,5617,3725485,7/11/2013,57
Zanjeer,9/6/2013,N,12426,81,462,329080,7/4/2013,64
Satyagraha,8/30/2013,N,6396,399,2754,1437733,6/26/2013,65
Madras Cafe,8/23/2013,N,350820,604,3051,1437733,7/12/2013,42
Once Upon A Time In Mumbaai Dobaara!,8/15/2013,N,1436183,2835,9264,3122932,5/28/2013,79
Chennai Express,8/9/2013,N,270031,5275,32657,7691139,6/13/2013,57
B.A. Pass,8/2/2013,N,333595,369,897,2303754,7/1/2013,32
Bajatey Raho,7/26/2013,NP,156,77,522,473632,6/17/2013,39
Issaq,7/26/2013,N,190273,19,88,78059,6/11/2013,45
Nasha,7/26/2013,N,187027,198,304,662499,7/13/2013,13
D Day,7/19/2013,N,119142,229,1843,1968198,5/22/2013,58
Ramaiya Vastavaiya,7/19/2013,N,170193,710,4290,3910410,4/25/2013,85
Bhaag Milkha Bhaag,7/12/2013,N,1121883,471,6016,2558794,6/30/2013,12
Lootera,7/5/2013,N,243834,828,4444,2607950,3/15/2013,112
Policegiri,7/5/2013,N,146680,437,1743,1815639,5/28/2013,38
Ghanchakkar,6/28/2013,NP,3546,618,5121,2296107,3/28/2013,92
Raanjhanaa,6/21/2013,NP,88314,1033,12586,5559246,4/23/2013,59
Fukrey,6/14/2013,Y,789303,51,276,106325,4/12/2013,63
Yamla Pagla Deewana 2,6/7/2013,N,3001,684,5460,2785551,3/27/2013,72
Yeh Jawaani Hai Deewani,5/31/2013,N,2053316,1664,14230,5265692,3/19/2013,73
Aurangzeb,5/17/2013,N,2250,760,3442,1935263,4/2/2013,45
Go Goa Gone,5/10/2013,N,1670,978,10229,4394971,3/25/2013,46
Gippi,5/10/2013,N,105624,577,2936,1643982,4/1/2013,39
Shootout At Wadala,5/3/2013,N,669085,147,900,843763,1/27/2013,96
Bombay Talkies,5/3/2013,N,192770,339,2834,1578668,3/25/2013,39
Aashiqui 2,4/26/2013,N,2059767,707,5701,3511303,4/13/2013,13
